BIOREGION,EVC,X_EVCNAME,EVC_BCS,area1750_ha,area2005_ha,proportion_remaining
Greater Grampians,175,Grassy Woodland,E,3.13,2.44,0.7795527156549521
Wimmera,283,Plains Sedgy Woodland,D,2187.87,1707.2,0.7803023031532953
Goldfields,61,Box Ironbark Forest,D,353985.18,277033.87,0.7826143173564498
Victorian Riverina,79,Alluvial Terraces Herb-rich Woodland/Heathy Dry Forest Mosaic,V,676.05,529.18,0.7827527549737445
Victorian Riverina,291,Cane Grass Wetland,V,223.06,174.91,0.7841387967363042
Gippsland Plain,172,Floodplain Wetland Aggregate,E,48.51,38.05,0.7843743558029272
Gippsland Plain,681,Deep Freshwater Marsh,V,8179.43,6416.62,0.7844825372917184
Northern Inland Slopes,93,Sandstone Ridge Shrubland,V,31.14,24.47,0.7858060372511239
East Gippsland Lowlands,15,Limestone Box Forest,V,8658.31,6812.63,0.7868313793338424
Lowan Mallee,824,Woorinen Mallee,LC,29140.11,22966.2,0.7881301752121046
Highlands - Northern Fall,175,Grassy Woodland,D,5393.13,4250.87,0.7882009148676186
Northern Inland Slopes,19,Riparian Shrubland,D,456.35,360.18,0.7892626273693437
Goldfields,23,Herb-rich Foothill Forest,D,3329.7400000000002,2632.64,0.7906443145711075
Goldfields,71,Hills Herb-rich Woodland,D,11236.27,8886.88,0.7909101507884733
Wimmera,711,Shallow Sands Woodland/Plains Sedgy Woodland Mosaic,V,2154.23,1706.74,0.7922738054896645
Monaro Tablelands,44,Sub-alpine Treeless Vegetation,R,410.75,325.96,0.793572732805843
Victorian Volcanic Plain,718,Freshwater Lake Aggregate,E,373.83000000000004,296.99,0.7944520236471123
Otway Ranges,161,Coastal Headland Scrub,D,1823.04,1450.84,0.7958355274705985
Highlands - Northern Fall,22,Grassy Dry Forest,LC,45078.53,35881.54,0.7959784846577739
Otway Plain,21,Shrubby Dry Forest,LC,1061.95,845.64,0.7963086774330241
Greater Grampians,449,Shrubby Woodland/Riparian Scrub Complex,LC,29.060000000000002,23.18,0.7976600137646248
Glenelg Plain,895,Escarpment Shrubland,E,73.28999999999999,58.48,0.7979260472097148
Victorian Volcanic Plain,1,Coastal Dune Scrub/Coastal Dune Grassland Mosaic,D,5.52,4.41,0.798913043478261
Wimmera,833,Cane Grass Wetland/Lignum Swampy Woodland Mosaic,E,779.07,623.48,0.8002875223022321
Victorian Alps,44,Sub-alpine Treeless Vegetation,R,6505.34,5208.75,0.8006883575647084
Victorian Riverina,18,Riparian Forest,D,362.28000000000003,290.41,0.8016175333995804
Murray Mallee,101,Samphire Shrubland,LC,47588.39,38179.07,0.8022769839450337
Goldfields,711,Shallow Sands Woodland/Plains Sedgy Woodland Mosaic,V,1111.81,892.7800000000001,0.8029969149405025
Lowan Mallee,93,Sandstone Ridge Shrubland,LC,128516.48,103334.65,0.8040575807865263
Gippsland Plain,163,Coastal Tussock Grassland,V,1505.28,1210.85,0.8044018388605442
Greater Grampians,3,Damp Sands Herb-rich Woodland,LC,10472.65,8429.05,0.8048631435214583
Wimmera,677,Inland Saltmarsh,E,355.18,286.43,0.8064361732079509
Highlands - Northern Fall,23,Herb-rich Foothill Forest,LC,633041.26,511213.02,0.807550869591028
Highlands - Southern Fall,159,Clay Heathland/Wet Heathland/Riparian Scrub Mosaic,D,4039.07,3266.58,0.8087455775710745
Murray Fans,815,Riverine Swampy Woodland,V,5804.04,4695.6,0.8090226807534063
Greater Grampians,771,Heathy Dry Forest/Sand Heathland Mosaic,LC,5.199999999999999,4.21,0.8096153846153847
Victorian Volcanic Plain,717,Saline Lake Aggregate,LC,2327.07,1884.09,0.8096404491485
Murray Fans,68,Creekline Grassy Woodland,E,692.55,560.78,0.8097321493032994
Greater Grampians,799,Shrubby Woodland/Riparian Scrub Mosaic,LC,92.21000000000001,74.7,0.8101073636265047
Otway Plain,311,Berm Grassy Shrubland,E,20.79,16.86,0.810966810966811
Gippsland Plain,34,Dry Rainforest,E,18.7,15.19,0.8122994652406417
Northern Inland Slopes,18,Riparian Forest,D,281.9,229.08,0.8126285916991842
Greater Grampians,285,Dry Creekline Woodland,E,528.64,429.78000000000003,0.8129918280871672
Otway Ranges,45,Shrubby Foothill Forest,LC,33746.98,27444.55,0.8132446221854518
Greater Grampians,640,Creekline Sedgy Woodland,E,1.61,1.31,0.8136645962732919
Greater Grampians,282,Shrubby Woodland,LC,10310.13,8389.54,0.8137181587429064
Monaro Tablelands,36,Montane Dry Woodland,LC,39069.47,31812.04,0.8142429370042644
Northern Inland Slopes,79,Alluvial Terraces Herb-rich Woodland/Heathy Dry Forest Mosaic,E,80.91,65.97,0.8153503893214683
Greater Grampians,761,Hills Herb-rich Woodland/Lateritic Woodland Mosaic,LC,150.85999999999999,123.41000000000001,0.8180432188784305
Wimmera,709,Scree-slope Woodland,E,0.55,0.45,0.8181818181818181
Victorian Riverina,888,Plains Saltmarsh,E,298.17,245.12,0.8220813629808498
Dundas Tablelands,28,Rocky Outcrop Shrubland,LC,151.63,124.66,0.8221328233199235
Goldfields,333,Red Gum Swamp/Plains Grassy Wetland Mosaic,E,7.99,6.569999999999999,0.8222778473091363
Greater Grampians,691,Aquatic Herbland/Plains Sedgy Wetland Mosaic,E,7.05,5.8,0.8226950354609929
East Gippsland Uplands,83,Swampy Riparian Woodland,E,96.75,79.65,0.8232558139534885
Central Victorian Uplands,19,Riparian Shrubland,E,478.35,393.85,0.8233511027490331
Dundas Tablelands,283,Plains Sedgy Woodland,D,1516.18,1248.69,0.8235763563692965
Murray Fans,812,Grassy Riverine Forest/Riverine Swamp Forest Complex,D,4848.33,3995.68,0.8241353208218087
Gippsland Plain,9,Coastal Saltmarsh,LC,11270.31,9293.8,0.8246268292531439
Victorian Riverina,260,Gilgai Wetland/Plains Grassy Woodland Complex,E,6.8,5.61,0.8250000000000001
Victorian Riverina,237,Riparian Forest/Swampy Riparian Woodland Mosaic,D,8.77,7.24,0.8255416191562144
Dundas Tablelands,672,Damp Sands Herb-rich Woodland/Shrubby Woodland Mosaic,V,331.08,273.66,0.8265675969554187
Bridgewater,200,Shallow Freshwater Marsh,E,27.86,23.04,0.8269921033740129
Victorian Riverina,334,Billabong Wetland Aggregate,V,671.66,555.46,0.8269958014471609
Otway Ranges,30,Wet Forest,LC,50887.270000000004,42105.76,0.8274320866495687
Victorian Riverina,172,Floodplain Wetland Aggregate,V,1021.39,845.39,0.8276858007225447
Wimmera,787,Plains Woodland/Damp Sands Herb-rich Woodland Mosaic,E,219.51,181.79,0.8281627260717052
Greater Grampians,174,Grassy Dry Forest/Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,D,119.03,98.7,0.8292027220028564
Dundas Tablelands,704,Lateritic Woodland,D,4073.5,3380.46,0.8298662084202774
Bridgewater,161,Coastal Headland Scrub,V,181.44,150.62,0.830136684303351
Glenelg Plain,48,Heathy Woodland,LC,60079.33,49921.02,0.830918387405452
Highlands - Northern Fall,36,Montane Dry Woodland,LC,34563.29,28829.579999999998,0.8341098315582804
Wimmera,822,Intermittent Swampy Woodland/Riverine Grassy Woodland Complex,V,4.08,3.41,0.8357843137254902
Glenelg Plain,881,Damp Sands Herb-rich Woodland/Heathy Woodland Mosaic,V,5746.36,4810.79,0.8371891075393815
Otway Plain,161,Coastal Headland Scrub,V,794.95,665.59,0.8372727844518523
Greater Grampians,748,Shallow Sands Woodland/Heathy Woodland Mosaic,V,88.92,74.53,0.8381691408007197
Central Victorian Uplands,691,Aquatic Herbland/Plains Sedgy Wetland Mosaic,E,61,51.14,0.8383606557377049
Central Victorian Uplands,29,Damp Forest,LC,3122.44,2621.95,0.8397118919819115
Northern Inland Slopes,21,Shrubby Dry Forest,LC,1370.58,1153.24,0.8414247982605905
Northern Inland Slopes,82,Riverine Escarpment Scrub,E,110.58,93.15,0.8423765599565926
Dundas Tablelands,292,Red Gum Swamp,E,1142.73,962.61,0.8423774644929248
Victorian Volcanic Plain,650,Heathy Woodland/Damp Heathy Woodland/Damp Heathland Mosaic,V,251.17,211.7,0.8428554365569136
Wimmera,672,Damp Sands Herb-rich Woodland/Shrubby Woodland Mosaic,V,85.08,71.73,0.8430888575458393
Otway Ranges,3,Damp Sands Herb-rich Woodland,V,429.45,362.14,0.843264640819653
East Gippsland Lowlands,169,Dry Valley Forest,V,2415.74,2037.46,0.8434103007774016
Wimmera,195,Seasonally Inundated Shrubby Woodland,LC,2055.48,1733.93,0.8435645202093915
Northern Inland Slopes,72,Granitic Hills Woodland,LC,35779.82,30202.41,0.8441185562140894
Highlands - Southern Fall,84,Riparian Forest/Swampy Riparian Woodland/Riparian Shrubland/Riverine Escarpment Scrub Mosaic,LC,7.39,6.25,0.8457374830852504
Robinvale Plains,824,Woorinen Mallee,V,788.08,666.82,0.846132372347985
Wimmera,77,Alluvial Terraces Herb-rich Woodland/Plains Grassy Woodland Mosaic,E,2.9899999999999998,2.53,0.8461538461538461
Wimmera,680,Freshwater Meadow,E,100.77,85.29,0.8463828520392975
Robinvale Plains,103,Riverine Chenopod Woodland,D,16016.69,13572.19,0.8473779538718674
Glenelg Plain,16,Lowland Forest,LC,12251.98,10393.31,0.8482963569969915
Glenelg Plain,71,Hills Herb-rich Woodland,V,144.48,122.69,0.8491832779623478
Warrnambool Plain,300,Reed Swamp,E,38.65,32.87,0.8504527813712807
Otway Plain,48,Heathy Woodland,LC,26512.48,22617.34,0.8530827746027532
Bridgewater,681,Deep Freshwater Marsh,V,1399.03,1196,0.854878022629965
Wimmera,69,Metamorphic Slopes Shrubby Woodland,D,121.65,104.32000000000001,0.8575421290587752
Highlands - Southern Fall,877,Lowland Herb-rich Forest,D,6564.13,5652.15,0.8610661275751699
Highlands - Southern Fall,45,Shrubby Foothill Forest,LC,65219.44,56230.22,0.8621696230449081
East Gippsland Lowlands,47,Valley Grassy Forest,D,5387.3,4646.12,0.8624208787333172
Dundas Tablelands,657,Freshwater Lignum Shrubland,E,0.51,0.44,0.8627450980392157
Otway Ranges,201,Shrubby Wet Forest,LC,37863.89,32714.5,0.8640026156847593
Otway Plain,201,Shrubby Wet Forest,LC,154.99,133.96,0.8643138266984967
Goldfields,79,Alluvial Terraces Herb-rich Woodland/Heathy Dry Forest Mosaic,V,3.76,3.25,0.8643617021276596
Victorian Volcanic Plain,660,Plains Woodland/Plains Grassy Wetland Mosaic,E,44.69,38.629999999999995,0.86439919445066
Victorian Volcanic Plain,982,No EVC assigned - need editing,na,0.89,0.7699999999999999,0.8651685393258426
Wilsons Promontory,876,Spray-zone Coastal Shrubland,R,48.89,42.3,0.8652076089179791
East Gippsland Uplands,18,Riparian Forest,LC,10313.18,8926.73,0.8655652281837415
Lowan Mallee,97,Semi-arid Woodland,D,24359.219999999998,21088.39,0.8657251751082342
Highlands - Southern Fall,902,Gully Woodland,V,419.93,363.99,0.8667873216964732
Highlands - Southern Fall,18,Riparian Forest,LC,32889.17,28512.89,0.8669385697480356
Lowan Mallee,86,Woorinen Sands Mallee,LC,79185.83,68720.5,0.867838349361243
Wimmera,783,Grassy Dry Forest/Heathy Woodland Mosaic,D,239.98,208.56,0.8690724227018919
East Gippsland Uplands,22,Grassy Dry Forest,LC,46758.33,40645.2,0.8692611562474536
Robinvale Plains,803,Plains Woodland,E,2.0300000000000002,1.77,0.8719211822660098
Otway Ranges,198,Sedgy Riparian Woodland,V,92.91,81.02,0.8720266924981165
East Gippsland Uplands,3,Damp Sands Herb-rich Woodland,V,18.84,16.43,0.8720806794055201
Wimmera,73,Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,R,10.43,9.1,0.87248322147651
Gippsland Plain,982,No EVC assigned - need editing,na,138.91,121.44,0.8742351162623281
Highlands - Northern Fall,16,Lowland Forest,LC,1371.08,1198.68,0.874259707675701
Greater Grampians,47,Valley Grassy Forest,V,6574.12,5753.97,0.8752456602556693
Goldfields,65,Sedge-rich Woodland,E,130.33,114.08,0.8753165042584208
Wimmera,653,Aquatic Herbland,E,1042.9,913.22,0.8756544251606098
Central Victorian Uplands,73,Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,LC,847.28,742.05,0.8758025682182985
Wimmera,200,Shallow Freshwater Marsh,V,111.25,97.51,0.876494382022472
East Gippsland Lowlands,17,Riparian Scrub/Swampy Riparian Woodland Complex,LC,21246.84,18656.5,0.8780835173606992
Murray Fans,1068,Riverine Swamp Forest/Sedgy Riverine Forest Mosaic,D,469.98,412.91,0.8785693008213116
Greater Grampians,300,Reed Swamp,V,45.83,40.29,0.8791184813440978
Dundas Tablelands,717,Saline Lake Aggregate,LC,360.17,316.76,0.879473581919649
Bridgewater,53,Swamp Scrub,E,64.6,56.83,0.8797213622291022
Robinvale Plains,823,Lignum Swampy Woodland,D,7454.87,6559.34,0.8798731567418345
Lowan Mallee,101,Samphire Shrubland,LC,97.82,86.09,0.880085872009814
Greater Grampians,200,Shallow Freshwater Marsh,V,487.40999999999997,429.32,0.8808190229991179
Victorian Riverina,106,Grassy Riverine Forest,D,197.35,173.82999999999998,0.8808208766151507
Central Victorian Uplands,21,Shrubby Dry Forest,LC,10695.64,9425.34,0.8812319786380245
Wimmera,48,Heathy Woodland,LC,52784.92,46544.08,0.8817685050957736
East Gippsland Uplands,23,Herb-rich Foothill Forest,LC,15116.74,13333.06,0.8820063055923433
Dundas Tablelands,734,Damp Heathland/Damp Heathy Woodland/Wet Heathland Mosaic,V,60.58,53.45,0.882304390888082
Robinvale Plains,104,Lignum Swamp,V,1721.3700000000001,1523.18,0.8848649622103324
Strzelecki Ranges,233,Wet Sands Thicket,R,65.39,57.89,0.8853035632359688
Dundas Tablelands,680,Freshwater Meadow,E,38.550000000000004,34.13,0.885343709468223
Victorian Riverina,819,Spike-sedge Wetland,V,8.13,7.2,0.8856088560885608
Otway Ranges,31,Cool Temperate Rainforest,E,10169.42,9009.47,0.8859374477600491
Wimmera,892,Heathy Woodland/Sand Heathland Mosaic,LC,4815.1,4268.26,0.8864322651658325
Wimmera,704,Lateritic Woodland,V,1553.3700000000001,1377.32,0.8866657654003874
Glenelg Plain,641,Riparian Woodland,V,743.16,659.14,0.8869422466225308
Gippsland Plain,155,Bird Colony Succulent Herbland,R,147.87,131.16,0.8869953337390951
Murray Mallee,808,Lignum Shrubland,LC,181.77,161.28,0.8872751279088958
Gippsland Plain,140,Mangrove Shrubland,LC,5240.58,4650.02,0.8873101832239944
Highlands - Northern Fall,18,Riparian Forest,LC,27406.23,24320.82,0.8874193933277215
Northern Inland Slopes,291,Cane Grass Wetland,V,9.36,8.31,0.8878205128205129
Glenelg Plain,6,Sand Heathland,R,1386.93,1231.81,0.8881558550179172
Bridgewater,680,Freshwater Meadow,E,11.47,10.19,0.8884045335658238
Goldfields,69,Metamorphic Slopes Shrubby Woodland,D,5835.75,5186.2,0.8886946836310671
Highlands - Southern Fall,7,Clay Heathland,D,41.919999999999995,37.309999999999995,0.8900286259541985
Murray Fans,334,Billabong Wetland Aggregate,D,758.64,675.37,0.8902377939470631
Gippsland Plain,710,Damp Heathland,R,46.78,41.65,0.8903377511757161
Warrnambool Plain,155,Bird Colony Succulent Herbland,V,1.92,1.71,0.890625
Victorian Riverina,1052,Floodplain Grassy Wetland/Riverine Swampy Woodland Mosaic,E,93.5,83.3,0.8909090909090909
Highlands - Southern Fall,29,Damp Forest,LC,207270.28,184766.92,0.8914298760053782
Highlands - Southern Fall,169,Dry Valley Forest,V,13940.2,12431.21,0.8917526290871005
Robinvale Plains,808,Lignum Shrubland,LC,4558.38,4065.59,0.891893611326831
Otway Ranges,18,Riparian Forest,LC,2981.15,2660.13,0.8923167234121061
Otway Plain,30,Wet Forest,LC,307.55,274.61,0.8928954641521704
Greater Grampians,710,Damp Heathland,LC,15.51,13.85,0.8929722759509994
Lowan Mallee,91,Loamy Sands Mallee,LC,313260.54,280048,0.8939779009510742
Warrnambool Plain,163,Coastal Tussock Grassland,V,469.65,419.95,0.8941765144256362
Central Victorian Uplands,27,Blackthorn Scrub,R,102.77,91.95,0.8947163569134963
Highlands - Northern Fall,172,Floodplain Wetland Aggregate,LC,0.5700000000000001,0.51,0.894736842105263
Greater Grampians,796,Valley Grassy Forest/Lateritic Woodland Mosaic,V,29.830000000000002,26.709999999999997,0.8954073080791148
Otway Plain,196,Seasonally Inundated Sub-saline Herbland,R,58.11,52.150000000000006,0.8974358974358976
Wimmera,751,Seasonally Inundated Shrubby Woodland/Plains Sedgy Woodland Mosaic,LC,799.72,718.25,0.8981268443955384
Gippsland Plain,6,Sand Heathland,R,14605.369999999999,13126.95,0.8987755873353432
East Gippsland Lowlands,16,Lowland Forest,LC,313504.58,281993.6,0.8994879755823662
Victorian Riverina,810,Floodway Pond Herbland,V,1.91,1.72,0.9005235602094241
Greater Grampians,8,Wet Heathland,V,1346.02,1213.3,0.9013981961635043
Victorian Riverina,21,Shrubby Dry Forest,V,9.03,8.14,0.9014396456256922
Greater Grampians,764,Lateritic Woodland/Heathy Woodland Mosaic,E,53.54,48.31,0.902316025401569
Northern Inland Slopes,28,Rocky Outcrop Shrubland,V,818.38,739.35,0.9034311688946456
Dundas Tablelands,999,Unknown/Unclassified,na,99.92,90.37,0.9044235388310649
Otway Ranges,163,Coastal Tussock Grassland,V,61.8,55.93,0.9050161812297735
Dundas Tablelands,200,Shallow Freshwater Marsh,V,1441.17,1304.4199999999998,0.9051118188693907
East Gippsland Lowlands,316,Shrubby Damp Forest,LC,1442.7,1305.94,0.9052055174325917
Victorian Volcanic Plain,300,Reed Swamp,E,32.3,29.28,0.9065015479876162
Robinvale Plains,97,Semi-arid Woodland,V,7282.09,6605.3,0.9070610223163954
East Gippsland Uplands,7,Clay Heathland,V,998.28,907.07,0.908632848499419
Monaro Tablelands,43,Sub-alpine Woodland,LC,1088.71,990.25,0.9095626934629056
Central Victorian Uplands,351,Rocky Outcrop Shrubland/Rocky Outcrop Herbland/Grassy Dry Forest Complex,LC,2131.07,1941.98,0.9112699254365177
Greater Grampians,136,Sedge Wetland,E,354.06,322.79,0.9116816358809242
Victorian Volcanic Plain,16,Lowland Forest,LC,32963.97,30053.38,0.9117038997426584
Victorian Volcanic Plain,48,Heathy Woodland,V,901.96,822.39,0.9117810102443566
Goldfields,28,Rocky Outcrop Shrubland,LC,2.63,2.4,0.9125475285171103
Gippsland Plain,11,Coastal Lagoon Wetland,V,3.9299999999999997,3.59,0.9134860050890585
Otway Plain,10,Estuarine Wetland,E,81.33000000000001,74.37,0.9144227222427148
Greater Grampians,383,Lowland Forest/Valley Grassy Forest Complex,V,1318.48,1206.03,0.9147123960924701
Gippsland Plain,915,Aquatic Herbland/Swamp Scrub Mosaic,E,43.42,39.73,0.9150161216029479
Wimmera,676,Salt Paperbark Woodland,V,208.25,190.56,0.9150540216086435
Highlands - Southern Fall,895,Escarpment Shrubland,E,235.97,216.06,0.9156248675679112
Strzelecki Ranges,163,Coastal Tussock Grassland,D,5.66,5.1899999999999995,0.9169611307420493
Wimmera,659,Plains Riparian Shrubby Woodland,V,416.46000000000004,382.03000000000003,0.9173269941891178
Otway Ranges,16,Lowland Forest,D,2292.16,2103.1,0.9175188468518777
East Gippsland Lowlands,135,Gallery Rainforest,E,35.67,32.77,0.9186991869918699
Robinvale Plains,102,Low Chenopod Shrubland,D,66.87,61.48,0.9193958426798264
Highlands - Northern Fall,7,Clay Heathland,V,27.23,25.04,0.919573999265516
Otway Ranges,17,Riparian Scrub/Swampy Riparian Woodland Complex,LC,118.73,109.26,0.9202391981807463
Murray Fans,106,Grassy Riverine Forest,D,6442.76,5933.89,0.921016769210711
Lowan Mallee,291,Cane Grass Wetland,E,1.4100000000000001,1.3,0.9219858156028368
Wimmera,6,Sand Heathland,D,1627.6299999999999,1501.5,0.9225069579695632
Gippsland Plain,637,Swamp Scrub/Damp Sands Herb-rich Woodland/Wet Heathland Mosaic,E,4.27,3.94,0.9227166276346604
Otway Plain,899,Plains Freshwater Sedge Wetland,V,90.94,83.99000000000001,0.9235759841653839
Greater Grampians,71,Hills Herb-rich Woodland,LC,12309.880000000001,11371.51,0.9237709872070239
Northern Inland Slopes,244,Granitic Hills Woodland/Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,LC,3954.14,3653.22,0.9238974846616458
Otway Plain,140,Mangrove Shrubland,V,64,59.16,0.924375
Otway Plain,233,Wet Sands Thicket,R,452.21,418.13,0.9246367837951395
Northern Inland Slopes,826,Plains Savannah,E,3.99,3.69,0.9248120300751879
Wimmera,748,Shallow Sands Woodland/Heathy Woodland Mosaic,V,869.33,805.36,0.9264145951479875
Victorian Volcanic Plain,493,Heathy Woodland/Plains Grassy Woodland Mosaic,E,4.73,4.39,0.9281183932346722
Victorian Volcanic Plain,793,Damp Heathy Woodland,V,67.53999999999999,62.7,0.9283387622149839
Glenelg Plain,738,Damp Sands Herb-rich Woodland/Plains Grassy Woodland/Plains Sedgy Wetland Mosaic,E,139.5,129.53,0.9285304659498208
Victorian Riverina,250,Floodplain Riparian Woodland/Plains Grassy Woodland Mosaic,V,220.22,204.49,0.9285714285714286
Wimmera,741,Salt Paperbark Woodland/Samphire Shrubland Mosaic,V,2249.54,2090.33,0.929225530552913
Greater Grampians,730,Plains Grassy Woodland/Shrubby Woodland Mosaic,V,12.94,12.05,0.9312210200927358
Northern Inland Slopes,20,Heathy Dry Forest,LC,14034.46,13073.91,0.9315577514204323
Murray Fans,101,Samphire Shrubland,LC,309.09,288.01,0.9317997994111747
Robinvale Plains,806,Alluvial Plains Semi-arid Grassland,V,79.46,74.06,0.9320412786307577
Victorian Riverina,636,Brackish Lake Aggregate,E,1997.69,1864.69,0.9334231036847559
Greater Grampians,48,Heathy Woodland,LC,58284.37,54475.24,0.9346457720997927
Victorian Riverina,19,Riparian Shrubland,D,4,3.74,0.935
Highlands - Southern Fall,23,Herb-rich Foothill Forest,LC,115355.64,107859.45,0.935016701394054
Otway Ranges,8,Wet Heathland,LC,197.45,184.67000000000002,0.9352747531020513
Gippsland Plain,909,Coastal Dune Scrub/Bird Colony Succulent Herbland Mosaic,D,148.31,138.91,0.9366192434765019
Wimmera,70,Hillcrest Herb-rich Woodland,D,272.79,255.57000000000002,0.9368745188606621
East Gippsland Lowlands,9,Coastal Saltmarsh,D,1340.31,1256.34,0.937350314479486
Murray Mallee,107,Lake Bed Herbland,D,4662.06,4370.49,0.9374589773619386
Murray Scroll Belt,102,Low Chenopod Shrubland,D,40674.340000000004,38143.93,0.9377885418669362
Greater Grampians,283,Plains Sedgy Woodland,V,553.53,519.12,0.9378353476776327
Central Victorian Uplands,45,Shrubby Foothill Forest,LC,38711.15,36308.41,0.9379315778528926
Dundas Tablelands,282,Shrubby Woodland,V,546.59,512.75,0.9380888783183007
Wimmera,134,Sand Forest,E,1.96,1.84,0.9387755102040817
Wimmera,886,Red Gum Wetland/Aquatic Herbland Mosaic,V,1280.8,1202.54,0.9388975640224859
Murray Fans,819,Spike-sedge Wetland,V,631.41,593.06,0.9392629194976323
Greater Grampians,641,Riparian Woodland,E,17.55,16.49,0.9396011396011394
Otway Ranges,10,Estuarine Wetland,E,4.22,3.97,0.9407582938388627
Wimmera,983,Water Body - to be determined,na,1030.82,970.26,0.941250654818494
Central Victorian Uplands,28,Rocky Outcrop Shrubland,LC,65.47,61.64,0.9414999236291431
Glenelg Plain,161,Coastal Headland Scrub,E,508.09999999999997,478.49,0.941724070064948
Murray Fans,816,Sedgy Riverine Forest,D,12905.65,12155.01,0.941836327499971
Victorian Riverina,804,Rushy Riverine Swamp,D,94.48,89.02,0.9422099915325994
Wilsons Promontory,5,Coastal Sand Heathland,R,22.59,21.3,0.9428950863213812
Greater Grampians,760,Lateritic Woodland/Heathy Dry Forest Mosaic,E,115.57000000000001,109.04,0.9434974474344553
Victorian Riverina,821,Tall Marsh,D,164.91,155.62,0.9436662421927112
Greater Grampians,727,Hills Herb-rich Woodland/Heathy Woodland Mosaic,LC,9.42,8.89,0.9437367303609342
Victorian Riverina,101,Samphire Shrubland,LC,1041.7,983.16,0.9438033982912546
Murray Fans,804,Rushy Riverine Swamp,D,198.28,187.25,0.9443715957232197
Murray Mallee,106,Grassy Riverine Forest,D,49.23,46.52,0.9449522648791389
Lowan Mallee,292,Red Gum Swamp,E,15.32,14.48,0.9451697127937337
Otway Plain,74,Wetland Formation,E,232.70000000000002,219.96,0.9452513966480447
Goldfields,255,Riverine Grassy Woodland/Sedgy Riverine Forest/Wetland Formation Mosaic,D,66.57,63.010000000000005,0.9465224575634672
Glenelg Plain,737,Heathy Woodland/Limestone Woodland Mosaic,V,3593.33,3401.84,0.9467095980608516
Murray Fans,1069,Riverine Swamp Forest/Sedgy Riverine Forest-Riverine Swamp Forest Complex,D,1402.26,1329.79,0.9483191419565559
Glenelg Plain,656,Brackish Wetland,V,208.22,197.60999999999999,0.949044280088368
Murray Fans,1075,Mosaic of Sedgy Riverine Forest/Sedgy Riverine Forest-Riverine Swamp Forest Complex,D,373.81,354.8,0.9491452877130093
Wimmera,636,Brackish Lake Aggregate,D,2538.33,2409.4100000000003,0.9492107015242306
Highlands - Northern Fall,317,Sub-alpine Wet Heathland/Sub-alpine Grassland Mosaic,E,172.07999999999998,163.42,0.949674569967457
Robinvale Plains,86,Woorinen Sands Mallee,D,2309.45,2193.58,0.9498278810972309
Northern Inland Slopes,73,Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,V,1426.01,1354.58,0.9499091871726004
Dundas Tablelands,653,Aquatic Herbland,E,118.24,112.34,0.9501014884979703
East Gippsland Uplands,19,Riparian Shrubland,R,1351.48,1284.06,0.9501139491520407
Bridgewater,876,Spray-zone Coastal Shrubland,R,81.04,77.07,0.9510118460019742
Highlands - Southern Fall,48,Heathy Woodland,LC,2019.3600000000001,1920.81,0.9511974090801045
Lowan Mallee,88,Heathy Mallee,LC,323790.84,308103.65,0.9515514706963297
Dundas Tablelands,792,Stony Rises Woodland/Stony Knoll Shrubland Complex,V,2361.25,2249.2,0.9525463208046585
Highlands - Southern Fall,19,Riparian Shrubland,R,954.4300000000001,909.32,0.9527361880913215
Monaro Tablelands,29,Damp Forest,LC,3444.65,3282.5899999999997,0.9529531302164225
East Gippsland Lowlands,11,Coastal Lagoon Wetland,V,800.47,763.45,0.9537521705997727
East Gippsland Uplands,36,Montane Dry Woodland,LC,3802.73,3630.8,0.9547877445940154
Otway Ranges,22,Grassy Dry Forest,D,290.83,277.71,0.9548877351029811
Murray Fans,811,Grassy Riverine Forest/Floodway Pond Herbland Complex,D,138.26,132.1,0.9554462606683061
Highlands - Northern Fall,20,Heathy Dry Forest,LC,105933.02,101248.07,0.9557744129262057
Murray Fans,56,Floodplain Riparian Woodland,D,4093.76,3914.95,0.9563213280700382
Murray Fans,814,Riverine Swamp Forest,D,12481.67,11944.83,0.9569897297396903
Highlands - Northern Fall,27,Blackthorn Scrub,R,204.04,195.27,0.9570182317192708
Greater Grampians,493,Heathy Woodland/Plains Grassy Woodland Mosaic,V,5.89,5.64,0.9575551782682513
Robinvale Plains,821,Tall Marsh,D,86.95,83.27,0.957676825761932
Murray Mallee,810,Floodway Pond Herbland,V,18.03,17.27,0.9578480310593455
Victorian Riverina,814,Riverine Swamp Forest,D,1185.67,1135.89,0.9580152993666029
Lowan Mallee,641,Riparian Woodland,V,93.73,89.82000000000001,0.9582844340125893
Highlands - Northern Fall,82,Riverine Escarpment Scrub,V,606.58,581.61,0.9588347785947443
Dundas Tablelands,19,Riparian Shrubland,V,56.79,54.46,0.9589716499383695
Highlands - Northern Fall,21,Shrubby Dry Forest,LC,292408.25,280505.99,0.9592957449045982
Lowan Mallee,829,Chenopod Grassland,D,4596.68,4410.89,0.9595816980951469
Victorian Volcanic Plain,6,Sand Heathland,LC,23.14,22.209999999999997,0.9598098530682799
